return_string,flag,type,abv,rb_overall_score,rb_style_score,rb_user_rating,rb_rating_number,name_found
"St. Peter's Ruby Red Ale
🇬🇧 Bitter - Ordinary / Best • 4.3%
49
95
3.25
(415)",🇬🇧, Bitter - Ordinary / Best ,4.3,49,95,3.25,415.0,St. Peter's Ruby Red Ale
"Shepherd Neame Spitfire (Bottle)
🇬🇧 Bitter - Ordinary / Best • 4.5%
34
59
3.05
(1083)",🇬🇧, Bitter - Ordinary / Best ,4.5,34,59,3.05,1083.0,Shepherd Neame Spitfire (Bottle)
"Arbor Rocketman
🇬🇧 IPA • 6.0%
95
97
3.74
(59)",🇬🇧, IPA ,6.0,95,97,3.74,59.0,Arbor Rocketman
"Shepherd Neame India Pale Ale (Bottle)
🇬🇧 IPA - English • 6.1%
46
47
3.22
(420)",🇬🇧, IPA - English ,6.1,46,47,3.22,420.0,Shepherd Neame India Pale Ale (Bottle)
"Shepherd Neame Christmas Ale
🇬🇧 Strong Ale - English • 7.0%
45
46
3.18
(409)",🇬🇧, Strong Ale - English ,7.0,45,46,3.18,409.0,Shepherd Neame Christmas Ale
"Shepherd Neame Bishops Finger (Filtered)
🇬🇧 Bitter - Premium / Strong / ESB • 5.4%
49
83
3.25
(976)",🇬🇧, Bitter - Premium / Strong / ESB ,5.4,49,83,3.25,976.0,Shepherd Neame Bishops Finger (Filtered)
"Shepherd Neame 1698
🇬🇧 Strong Ale - English • 6.5%
46
48
3.24
(453)",🇬🇧, Strong Ale - English ,6.5,46,48,3.24,453.0,Shepherd Neame 1698
"Bluebonnet Cream Ale
🇺🇸 Cream Ale • 6.0%
-
-
2.85
(2)",🇺🇸, Cream Ale ,6.0,-,-,2.85,2.0,Bluebonnet Cream Ale
"Sixpoint Hootie Hazy IPA
🇺🇸 IPA - Hazy / NEIPA • 5.4%
85
46
3.62
(32)",🇺🇸, IPA - Hazy / NEIPA ,5.4,85,46,3.62,32.0,Sixpoint Hootie Hazy IPA
"March First Craft Lager
🇺🇸 Pale Lager - North Am. / Light / Rice • 5.1%
-
-
3.40
(6)",🇺🇸, Pale Lager - North Am. / Light / Rice ,5.1,-,-,3.40,6.0,March First Craft Lager
"Victory Liberty Bell Ringer (2019)
🇺🇸 IIPA DIPA - Imperial / Double IPA • 8.7%
83
45
3.64
(17)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,8.7,83,45,3.64,17.0,Victory Liberty Bell Ringer (2019)
"Coronado Seven Caves
🇺🇸 IPA - Black / Brown / Cascadian Dark • 6.3%
-
-
3.65
(2)",🇺🇸, IPA - Black / Brown / Cascadian Dark ,6.3,-,-,3.65,2.0,Coronado Seven Caves
"Greene King Yardbird (Bottle / Keg)
🇬🇧 Blonde Ale / Golden Ale • 4.0%
26
38
2.98
(254)",🇬🇧, Blonde Ale / Golden Ale ,4.0,26,38,2.98,254.0,Greene King Yardbird (Bottle / Keg)
"Greene King St. Edmund's Golden Beer (Bottle)
🇬🇧 Blonde Ale / Golden Ale • 4.2%
13
14
2.66
(279)",🇬🇧, Blonde Ale / Golden Ale ,4.2,13,14,2.66,279.0,Greene King St. Edmund's Golden Beer (Bottle)
"Fuller's Winter Brew
🇬🇧 Old Ale • 6.3%
84
73
3.55
(51)",🇬🇧, Old Ale ,6.3,84,73,3.55,51.0,Fuller's Winter Brew
"Fuller's Old Winter Ale (Bottle)
🇬🇧 Strong Ale - English • 5.3%
66
82
3.35
(573)",🇬🇧, Strong Ale - English ,5.3,66,82,3.35,573.0,Fuller's Old Winter Ale (Bottle)
"Batemans Rosey Nosey (Bottle)
🇬🇧 Old Ale • 4.7%
27
6
2.94
(306)",🇬🇧, Old Ale ,4.7,27,6,2.94,306.0,Batemans Rosey Nosey (Bottle)
"Hardys & Hansons Rocking Rudolph (Bottle & Keg)
🇬🇧 Bitter - Ordinary / Best • 4.2%
17
17
2.83
(142)",🇬🇧, Bitter - Ordinary / Best ,4.2,17,17,2.83,142.0,Hardys & Hansons Rocking Rudolph (Bottle & Keg)
"Greene King IPA Export (Filtered)
🇬🇧 Bitter - Premium / Strong / ESB • 5.0%
19
9
2.79
(279)",🇬🇧, Bitter - Premium / Strong / ESB ,5.0,19,9,2.79,279.0,Greene King IPA Export (Filtered)
"Schwarze Rose Brewtiful IPA
🇩🇪 IPA • 5.8%
63
47
3.49
(10)",🇩🇪, IPA ,5.8,63,47,3.49,10.0,Schwarze Rose Brewtiful IPA
"Adnams Triple Knot Tripel
🇬🇧 Tripel • 10.0%
44
38
3.17
(30)",🇬🇧, Tripel ,10.0,44,38,3.17,30.0,Adnams Triple Knot Tripel
"Grebhans Koller Lager
🇩🇪 Pale Lager - Strong • 7.2%
-
-
3.70
(2)",🇩🇪, Pale Lager - Strong ,7.2,-,-,3.70,2.0,Grebhans Koller Lager
"Grebhans Stuben Schluck
🇩🇪 IIPA DIPA - Hazy / Double NEIPA • 8.2%
-
-
3.60
(2)",🇩🇪, IIPA DIPA - Hazy / Double NEIPA ,8.2,-,-,3.60,2.0,Grebhans Stuben Schluck
"Union Bremer Helles
🇩🇪 Helles / Dortmunder Export • 4.8%
-
-
3.45
(2)",🇩🇪, Helles / Dortmunder Export ,4.8,-,-,3.45,2.0,Union Bremer Helles
"Hopfenfänger Hoppy Hell
🇩🇪 Pale Lager - India / Hoppy • 5.2%
-
-
3.35
(2)",🇩🇪, Pale Lager - India / Hoppy ,5.2,-,-,3.35,2.0,Hopfenfänger Hoppy Hell
"OLs Alt Oldenburger Kellerbier
🇩🇪 Zwickelbier / Kellerbier / Landbier • 4.8%
-
-
3.50
(2)",🇩🇪, Zwickelbier / Kellerbier / Landbier ,4.8,-,-,3.50,2.0,OLs Alt Oldenburger Kellerbier
"Founders Dirty Bastard Scotch Ale
🇺🇸 Scotch Ale / Wee Heavy • 8.5%
Available from £3.49
97
97
3.81
(2697)",🇺🇸, Scotch Ale / Wee Heavy ,8.5,Available from £3.49,97,97,3.81,Founders Dirty Bastard Scotch Ale
"Northern Monk Festive Faith
🇬🇧 Pale Ale - Australia / NZ • 5.4%
78
75
3.55
(23)",🇬🇧, Pale Ale - Australia / NZ ,5.4,78,75,3.55,23.0,Northern Monk Festive Faith
"Augustiner Edelstoff
🇩🇪 Helles / Dortmunder Export • 5.6%
Available from £2.99
39
86
3.21
(918)",🇩🇪, Helles / Dortmunder Export ,5.6,Available from £2.99,39,86,3.21,Augustiner Edelstoff
"Bell's VI: Salut Au Monde! (Leaves of Grass Series)
🇺🇸 Zwickelbier / Kellerbier / Landbier • 5.0%
90
99
3.73
(15)",🇺🇸, Zwickelbier / Kellerbier / Landbier ,5.0,90,99,3.73,15.0,Bell's VI: Salut Au Monde! (Leaves of Grass Series)
"Bell's Überon
🇺🇸 Wheat Ale • 10.0%
89
99
3.56
(57)",🇺🇸, Wheat Ale ,10.0,89,99,3.56,57.0,Bell's Überon
"Freethought Open
🇺🇸 IPA - Hazy / NEIPA • 6.0%
91
68
3.76
(15)",🇺🇸, IPA - Hazy / NEIPA ,6.0,91,68,3.76,15.0,Freethought Open
"Odd Breed Wild Ales Botanical Blend
🇺🇸 Sour / Wild Beer - Flavored • 6.0%
-
-
3.80
(1)",🇺🇸, Sour / Wild Beer - Flavored ,6.0,-,-,3.80,1.0,Odd Breed Wild Ales Botanical Blend
"Grizzly Paw Rutting Elk Red
🇨🇦 Scottish Ale • 5.2%
22
30
2.93
(67)",🇨🇦, Scottish Ale ,5.2,22,30,2.93,67.0,Grizzly Paw Rutting Elk Red
"Gale's HSB
🇬🇧 Bitter - Premium / Strong / ESB • 4.8%
49
83
3.29
(252)",🇬🇧, Bitter - Premium / Strong / ESB ,4.8,49,83,3.29,252.0,Gale's HSB
"Fuller's Red Fox (Cask)
🇬🇧 Red Ale - Irish • 4.3%
44
82
3.17
(150)",🇬🇧, Red Ale - Irish ,4.3,44,82,3.17,150.0,Fuller's Red Fox (Cask)
"Fuller's London Pride (Filtered)
🇬🇧 Bitter - Premium / Strong / ESB • 4.7%
71
96
3.44
(2434)",🇬🇧, Bitter - Premium / Strong / ESB ,4.7,71,96,3.44,2434.0,Fuller's London Pride (Filtered)
"Fuller's Jack Frost (Bottle)
🇬🇧 Bitter - Premium / Strong / ESB • 4.5%
37
45
3.05
(137)",🇬🇧, Bitter - Premium / Strong / ESB ,4.5,37,45,3.05,137.0,Fuller's Jack Frost (Bottle)
"Fuller's India Pale Ale (Bottle/Keg)
🇬🇧 IPA - English • 5.3%
55
67
3.30
(888)",🇬🇧, IPA - English ,5.3,55,67,3.30,888.0,Fuller's India Pale Ale (Bottle/Keg)
"Fuller's ESB (Pasteurised)
🇬🇧 Bitter - Premium / Strong / ESB • 5.9%
92
100
3.66
(2723)
RETIRED",🇬🇧, Bitter - Premium / Strong / ESB ,5.9,92,100,3.66,2723.0,Fuller's ESB (Pasteurised)
"Fuller's Discovery (Bottle)
🇬🇧 Blonde Ale / Golden Ale • 4.2%
31
46
2.99
(277)
RETIRED",🇬🇧, Blonde Ale / Golden Ale ,4.2,31,46,2.99,277.0,Fuller's Discovery (Bottle)
"Speakeasy Metropolis
🇺🇸 Pale Lager - India / Hoppy • 5.3%
57
46
3.35
(58)",🇺🇸, Pale Lager - India / Hoppy ,5.3,57,46,3.35,58.0,Speakeasy Metropolis
"Fuller's Black Cab Stout
🇬🇧 Stout • 4.2%
72
73
3.42
(142)",🇬🇧, Stout ,4.2,72,73,3.42,142.0,Fuller's Black Cab Stout
"Dead Frog Pale Ale
🇨🇦 Pale Ale - English • 5.0%
27
44
2.93
(50)",🇨🇦, Pale Ale - English ,5.0,27,44,2.93,50.0,Dead Frog Pale Ale
"Stone R & R Coconut IPA
🇺🇸 IPA - Flavored • 7.7%
93
93
3.61
(447)
RETIRED",🇺🇸, IPA - Flavored ,7.7,93,93,3.61,447.0,Stone R & R Coconut IPA
"Phillips Black Toque
🇨🇦 IPA - Black / Brown / Cascadian Dark • 6.5%
88
72
3.55
(148)",🇨🇦, IPA - Black / Brown / Cascadian Dark ,6.5,88,72,3.55,148.0,Phillips Black Toque
"Fuller's Bengal Lancer
🇬🇧 IPA - English • 5.0%
66
84
3.36
(692)",🇬🇧, IPA - English ,5.0,66,84,3.36,692.0,Fuller's Bengal Lancer
"Old Yale Sasquatch Stout
🇨🇦 Stout • 5.3%
67
63
3.38
(118)",🇨🇦, Stout ,5.3,67,63,3.38,118.0,Old Yale Sasquatch Stout
"Yaletown Mainland Lager
🇨🇦 Pale Lager - North Am. / Light / Rice • 5.0%
11
91
2.62
(30)",🇨🇦, Pale Lager - North Am. / Light / Rice ,5.0,11,91,2.62,30.0,Yaletown Mainland Lager
"Durham Imperious
🇬🇧 Stout - Imperial • 11.6%
88
39
3.64
(23)",🇬🇧, Stout - Imperial ,11.6,88,39,3.64,23.0,Durham Imperious
"Bowen Island Traditional Lager
🇨🇦 Pale Lager - North Am. / Light / Rice • 5.0%
2
38
1.99
(38)",🇨🇦, Pale Lager - North Am. / Light / Rice ,5.0,2,38,1.99,38.0,Bowen Island Traditional Lager
"Madhatters March Hare Cider (Draught)
🇬🇧 Apple Cider • 6.0%
-
-
2.55
(5)",🇬🇧, Apple Cider ,6.0,-,-,2.55,5.0,Madhatters March Hare Cider (Draught)
"Burnt Mill / Dugges Dimma
🇬🇧 IPA - Hazy / NEIPA • 6.8%
93
75
3.69
(25)",🇬🇧, IPA - Hazy / NEIPA ,6.8,93,75,3.69,25.0,Burnt Mill / Dugges Dimma
"Harboe Premium Pilsner
🇩🇰 Pilsener / Pils / Pilsner • 4.6%
2
2
1.95
(70)",🇩🇰, Pilsener / Pils / Pilsner ,4.6,2,2,1.95,70.0,Harboe Premium Pilsner
"Echigo Nonbiri Funwari Shiroi Biiru / Weizen for a Relaxing Time
🇯🇵 Weissbier - Hefeweizen • 5.0%
-
-
4.05
(1)",🇯🇵, Weissbier - Hefeweizen ,5.0,-,-,4.05,1.0,Echigo Nonbiri Funwari Shiroi Biiru / Weizen for a Relaxing Time
"Zoiglhaus Zoigl-Pils
🇺🇸 Pilsener / Pils / Pilsner • 4.8%
67
96
3.30
(13)",🇺🇸, Pilsener / Pils / Pilsner ,4.8,67,96,3.30,13.0,Zoiglhaus Zoigl-Pils
"North Brewing Co / Verdant Citrus Pale Ale
🇬🇧 Pale Ale - American / APA • 5.5%
94
98
3.65
(29)",🇬🇧, Pale Ale - American / APA ,5.5,94,98,3.65,29.0,North Brewing Co / Verdant Citrus Pale Ale
"Cloudwater I B Who?
🇬🇧 BarleyWine / WheatWine / RyeWine • 11.0%
96
89
3.84
(24)",🇬🇧, BarleyWine / WheatWine / RyeWine ,11.0,96,89,3.84,24.0,Cloudwater I B Who?
"Franziskaner Hefe-Weissbier / Weissbier Naturtrub
🇩🇪 Weissbier - Hefeweizen • 5.0%
Available from £1.75
91
100
3.73
(3363)",🇩🇪, Weissbier - Hefeweizen ,5.0,Available from £1.75,91,100,3.73,Franziskaner Hefe-Weissbier / Weissbier Naturtrub
"Baladin Nora
🇮🇹 Traditional Ale - Other • 6.8%
76
91
3.46
(570)",🇮🇹, Traditional Ale - Other ,6.8,76,91,3.46,570.0,Baladin Nora
"Weathered Souls Costa Rican French Press
🇺🇸 Stout - Imperial Flavored • 12.3%
-
-
4.10
(1)",🇺🇸, Stout - Imperial Flavored ,12.3,-,-,4.10,1.0,Weathered Souls Costa Rican French Press
"Propolis Fennel (2015 Field Series)
🇺🇸 Saison / Farmhouse / Grisette • 7.5%
-
-
3.41
(8)",🇺🇸, Saison / Farmhouse / Grisette ,7.5,-,-,3.41,8.0,Propolis Fennel (2015 Field Series)
"Flora Hall Galaxy-Sabro DDH IPA
🇨🇦 IPA - Hazy / NEIPA • 6.8%
-
-
3.80
(1)",🇨🇦, IPA - Hazy / NEIPA ,6.8,-,-,3.80,1.0,Flora Hall Galaxy-Sabro DDH IPA
"Monkish Foggier Lockdown
🇺🇸 IIPA DIPA - Hazy / Double NEIPA • 8.1%
-
-
4.00
(1)",🇺🇸, IIPA DIPA - Hazy / Double NEIPA ,8.1,-,-,4.00,1.0,Monkish Foggier Lockdown
"Flying Monkeys Juicy Ass IPA
🇨🇦 IPA - Hazy / NEIPA • 6.5%
85
46
3.60
(153)",🇨🇦, IPA - Hazy / NEIPA ,6.5,85,46,3.60,153.0,Flying Monkeys Juicy Ass IPA
"Hanscraft & Co. Backbone Splitter
🇩🇪 IPA • 6.6%
96
97
3.81
(300)",🇩🇪, IPA ,6.6,96,97,3.81,300.0,Hanscraft & Co. Backbone Splitter
"Mikerphone Wiggity Wiggity Wit
🇺🇸 Witbier / Belgian White Ale • 6.0%
-
-
3.70
(3)",🇺🇸, Witbier / Belgian White Ale ,6.0,-,-,3.70,3.0,Mikerphone Wiggity Wiggity Wit
"Casey Funky Blender Preserves: Merlot Grape
🇺🇸 Sour / Wild Beer - Flavored • 7.0%
-
-
4.06
(5)",🇺🇸, Sour / Wild Beer - Flavored ,7.0,-,-,4.06,5.0,Casey Funky Blender Preserves: Merlot Grape
"Branch and Blade Bliss (Boysenberries)
🇺🇸 Sour / Wild Beer - Flavored • 3.5%
-
-
3.80
(1)",🇺🇸, Sour / Wild Beer - Flavored ,3.5,-,-,3.80,1.0,Branch and Blade Bliss (Boysenberries)
"Odell Mango Tree Shaker
🇺🇸 IPA - Flavored • 8.0%
-
-
3.80
(1)",🇺🇸, IPA - Flavored ,8.0,-,-,3.80,1.0,Odell Mango Tree Shaker
"Left Hand Peach Beerllini
🇺🇸 Radler / Shandy • 4.1%
43
98
3.15
(30)",🇺🇸, Radler / Shandy ,4.1,43,98,3.15,30.0,Left Hand Peach Beerllini
"Abomination Rotting Earth
🇺🇸 IIPA DIPA - Hazy / Double NEIPA • 9.3%
91
38
3.74
(17)",🇺🇸, IIPA DIPA - Hazy / Double NEIPA ,9.3,91,38,3.74,17.0,Abomination Rotting Earth
"Hailstorm Stratus
🇺🇸 IIPA DIPA - Imperial / Double IPA • 8.0%
95
88
3.78
(25)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,8.0,95,88,3.78,25.0,Hailstorm Stratus
"Wiley Roots Orange Chocolate Tart
🇺🇸 Sour / Wild Beer - Flavored • 5.5%
-
-
3.95
(2)",🇺🇸, Sour / Wild Beer - Flavored ,5.5,-,-,3.95,2.0,Wiley Roots Orange Chocolate Tart
"Untitled Art Zanzibar Chocolate Ice Cream Stout
🇺🇸 Stout - Flavored • 8.0%
-
-
3.80
(1)",🇺🇸, Stout - Flavored ,8.0,-,-,3.80,1.0,Untitled Art Zanzibar Chocolate Ice Cream Stout
"SYC Pineapple F.O.M.O
🇨🇦 Sour / Wild Beer - Flavored • 5.2%
-
-
3.20
(1)",🇨🇦, Sour / Wild Beer - Flavored ,5.2,-,-,3.20,1.0,SYC Pineapple F.O.M.O
"Barebottle Salted Mangolicious IPA
🇺🇸 IPA • 6.3%
-
-
3.47
(2)",🇺🇸, IPA ,6.3,-,-,3.47,2.0,Barebottle Salted Mangolicious IPA
"Moonlight Dim Lights
🇺🇸 Pale Lager - Intl / Premium • 6.3%
-
-
3.70
(2)",🇺🇸, Pale Lager - Intl / Premium ,6.3,-,-,3.70,2.0,Moonlight Dim Lights
"Old Bust Head Caramel Macchiato Stout
🇺🇸 Stout - Milk / Sweet • 5.5%
85
90
3.74
(18)",🇺🇸, Stout - Milk / Sweet ,5.5,85,90,3.74,18.0,Old Bust Head Caramel Macchiato Stout
"Stoneface Berliner Weisse - Peach
🇺🇸 Berliner Weisse - Flavored • 3.7%
48
29
3.36
(9)",🇺🇸, Berliner Weisse - Flavored ,3.7,48,29,3.36,9.0,Stoneface Berliner Weisse - Peach
"Decadent Mocha Latte
🇺🇸 IPA - Flavored • 8.0%
-
-
3.63
(4)",🇺🇸, IPA - Flavored ,8.0,-,-,3.63,4.0,Decadent Mocha Latte
"Half Acre Vanilla Big Hugs
🇺🇸 Stout - Imperial • 10.0%
-
-
3.74
(8)",🇺🇸, Stout - Imperial ,10.0,-,-,3.74,8.0,Half Acre Vanilla Big Hugs
"Perennial Coffee Stout - 2020
🇺🇸 Stout - Imperial Flavored • 11.5%
-
-
4.17
(8)",🇺🇸, Stout - Imperial Flavored ,11.5,-,-,4.17,8.0,Perennial Coffee Stout - 2020
"Brewing Projekt Midnight Cow Cow
🇺🇸 Stout - Milk / Sweet • 8.0%
-
-
3.60
(1)",🇺🇸, Stout - Milk / Sweet ,8.0,-,-,3.60,1.0,Brewing Projekt Midnight Cow Cow
"Le Castor Cassis Bleuet
🇨🇦 Saison / Farmhouse / Grisette • 6.8%
84
79
3.79
(9)",🇨🇦, Saison / Farmhouse / Grisette ,6.8,84,79,3.79,9.0,Le Castor Cassis Bleuet
"Knee Deep Simtra Triple IPA
🇺🇸 IIPA DIPA - Imperial / Double IPA • 11.3%
99
99
3.99
(527)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,11.3,99,99,3.99,527.0,Knee Deep Simtra Triple IPA
"New Image Denomination of Origin - Brazilian Coffee
🇺🇸 Stout - Imperial Flavored • 12.5%
-
-
4.07
(3)",🇺🇸, Stout - Imperial Flavored ,12.5,-,-,4.07,3.0,New Image Denomination of Origin - Brazilian Coffee
"Olde Mother Impressionist
🇺🇸 IPA • 6.3%
-
-
3.30
(4)",🇺🇸, IPA ,6.3,-,-,3.30,4.0,Olde Mother Impressionist
"Bell's This One Goes to 11 Ale
🇺🇸 Red Ale - Imperial • 11.0%
97
90
3.77
(289)",🇺🇸, Red Ale - Imperial ,11.0,97,90,3.77,289.0,Bell's This One Goes to 11 Ale
"Dunham Saison Cassis
🇨🇦 Saison / Farmhouse - Flavored • 6.5%
94
82
3.68
(50)",🇨🇦, Saison / Farmhouse - Flavored ,6.5,94,82,3.68,50.0,Dunham Saison Cassis
"Black Project Hoplite
🇺🇸 Sour / Wild Beer - Flavored • 4.5%
-
-
3.93
(5)",🇺🇸, Sour / Wild Beer - Flavored ,4.5,-,-,3.93,5.0,Black Project Hoplite
"Short Throw Lips and Lungs
🇺🇸 IIPA DIPA - Imperial / Double IPA • 8.0%
-
-
3.90
(4)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,8.0,-,-,3.90,4.0,Short Throw Lips and Lungs
"Stone Peak Conditions
🇺🇸 IIPA DIPA - Hazy / Double NEIPA • 8.1%
88
29
3.65
(23)",🇺🇸, IIPA DIPA - Hazy / Double NEIPA ,8.1,88,29,3.65,23.0,Stone Peak Conditions
"McEwan's Headspace
🇬🇧 Scotch Ale / Wee Heavy • 5.8%
49
35
3.35
(82)",🇬🇧, Scotch Ale / Wee Heavy ,5.8,49,35,3.35,82.0,McEwan's Headspace
"Nickel Brook Headstock India Pale Ale
🇨🇦 IPA • 7.0%
91
92
3.70
(295)",🇨🇦, IPA ,7.0,91,92,3.70,295.0,Nickel Brook Headstock India Pale Ale
"Stillwater Duck Sauce
🇺🇸 IIPA DIPA - Imperial / Double IPA • 9.0%
Available from £9.19
76
38
3.60
(16)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,9.0,Available from £9.19,76,38,3.6,Stillwater Duck Sauce
"Burial Metallic Vessels
🇺🇸 Schwarzbier / Black Lager • 5.0%
-
-
3.74
(5)",🇺🇸, Schwarzbier / Black Lager ,5.0,-,-,3.74,5.0,Burial Metallic Vessels
"Firestone Walker Napa Parabola
🇺🇸 Stout - Imperial • 11.3%
100
98
4.17
(36)",🇺🇸, Stout - Imperial ,11.3,100,98,4.17,36.0,Firestone Walker Napa Parabola
"Lost Coast Fogcutter Double IPA
🇺🇸 IIPA DIPA - Imperial / Double IPA • 8.7%
95
86
3.77
(122)",🇺🇸, IIPA DIPA - Imperial / Double IPA ,8.7,95,86,3.77,122.0,Lost Coast Fogcutter Double IPA
"Beyond the Pale Dark and Woody
🇨🇦 Stout - Imperial • 10.2%
73
21
3.58
(10)",🇨🇦, Stout - Imperial ,10.2,73,21,3.58,10.0,Beyond the Pale Dark and Woody
"Forgotten Boardwalk What The Butler Saw
🇺🇸 Witbier / Belgian White Ale • 5.0%
47
77
3.24
(51)",🇺🇸, Witbier / Belgian White Ale ,5.0,47,77,3.24,51.0,Forgotten Boardwalk What The Butler Saw
"Bottle Logic Nectar Of The Night
🇺🇸 Berliner Weisse - Flavored • 5.0%
-
-
4.00
(1)",🇺🇸, Berliner Weisse - Flavored ,5.0,-,-,4.00,1.0,Bottle Logic Nectar Of The Night
"Modern Times Singular Rhythms - Boysenberry & Blackcurrant
🇺🇸 Sour / Wild Beer - Flavored • 5.5%
-
-
3.67
(3)",🇺🇸, Sour / Wild Beer - Flavored ,5.5,-,-,3.67,3.0,Modern Times Singular Rhythms - Boysenberry & Blackcurrant
"Wicked Weed Silencio
🇺🇸 Sour / Wild Beer - Dark • 7.4%
Available from £11.99
97
90
3.83
(97)",🇺🇸, Sour / Wild Beer - Dark ,7.4,Available from £11.99,97,90,3.83,Wicked Weed Silencio
"Mayne Island Barrel Aged Brown
🇨🇦 Brown Ale • 6.0%
-
-
3.20
(1)",🇨🇦, Brown Ale ,6.0,-,-,3.20,1.0,Mayne Island Barrel Aged Brown
"Beer Tree All Together
🇺🇸 IPA - Hazy / NEIPA • 6.5%
-
-
4.00
(1)",🇺🇸, IPA - Hazy / NEIPA ,6.5,-,-,4.00,1.0,Beer Tree All Together
"Phase Three Creme
🇺🇸 IIPA DIPA - Hazy / Double NEIPA • 8.0%
-
-
3.70
(1)",🇺🇸, IIPA DIPA - Hazy / Double NEIPA ,8.0,-,-,3.70,1.0,Phase Three Creme
"DSSOLVR Never Ending Sky
🇺🇸 Helles / Dortmunder Export • 5.5%
-
-
3.20
(1)",🇺🇸, Helles / Dortmunder Export ,5.5,-,-,3.20,1.0,DSSOLVR Never Ending Sky
"Reuben's Tart Cherry Weisse
🇺🇸 Berliner Weisse - Flavored • 3.2%
75
53
3.56
(11)",🇺🇸, Berliner Weisse - Flavored ,3.2,75,53,3.56,11.0,Reuben's Tart Cherry Weisse
"Mayne Island English IPA
🇨🇦 IPA • 6.2%
-
-
3.20
(2)",🇨🇦, IPA ,6.2,-,-,3.20,2.0,Mayne Island English IPA
"New Glarus Wisconsin Belgian Red
🇺🇸 Flavored - Fruit • 4.0%
100
100
4.16
(1520)",🇺🇸, Flavored - Fruit ,4.0,100,100,4.16,1520.0,New Glarus Wisconsin Belgian Red
"Saints Row Forever, Forever-ever, Forever?
🇺🇸 Brown Ale • 5.2%
-
-
3.10
(1)",🇺🇸, Brown Ale ,5.2,-,-,3.10,1.0,"Saints Row Forever, Forever-ever, Forever?"
"Lupulin Make IPA Piney Again
🇺🇸 IPA • 7.0%
-
-
3.85
(8)",🇺🇸, IPA ,7.0,-,-,3.85,8.0,Lupulin Make IPA Piney Again
"Cycle Maple MW
🇺🇸 Old Ale • 11.0%
-
-
4.20
(3)",🇺🇸, Old Ale ,11.0,-,-,4.20,3.0,Cycle Maple MW
"Foothills Torch Pilsner
🇺🇸 Pilsener - Czech / Svetlý • 5.3%
48
86
3.20
(235)",🇺🇸, Pilsener - Czech / Svetlý ,5.3,48,86,3.20,235.0,Foothills Torch Pilsner
"Parish Pure Tropics
🇺🇸 IPA • 7.0%
93
95
4.00
(12)",🇺🇸, IPA ,7.0,93,95,4.00,12.0,Parish Pure Tropics
"Kettlehead Ghost Town Barley Wine
🇺🇸 BarleyWine / WheatWine / RyeWine • 11.0%
-
-
3.60
(1)",🇺🇸, BarleyWine / WheatWine / RyeWine ,11.0,-,-,3.60,1.0,Kettlehead Ghost Town Barley Wine
"Odd Side Papaya Strawberry Fruitsicle
🇺🇸 Sour / Wild Beer - Flavored • 4.5%
-
-
3.70
(1)",🇺🇸, Sour / Wild Beer - Flavored ,4.5,-,-,3.70,1.0,Odd Side Papaya Strawberry Fruitsicle
"Birdsong St. Tuber Abbey Ale (Bourbon Barrel)
🇺🇸 Flavored - Other • 6.8%
-
-
3.60
(2)",🇺🇸, Flavored - Other ,6.8,-,-,3.60,2.0,Birdsong St. Tuber Abbey Ale (Bourbon Barrel)
"Böser Geist Sixteen(2019)
🇺🇸 Quadrupel / Abt • 11.1%
-
-
3.00
(1)",🇺🇸, Quadrupel / Abt ,11.1,-,-,3.00,1.0,Böser Geist Sixteen(2019)
"Epic Tart 'n Juicy Sour IPA
🇺🇸 IPA - Sour / Wild • 5.1%
73
31
3.46
(232)",🇺🇸, IPA - Sour / Wild ,5.1,73,31,3.46,232.0,Epic Tart 'n Juicy Sour IPA
"Outer Range Jerry Juice
🇺🇸 Pilsener / Pils / Pilsner • 5.5%
-
-
3.00
(1)",🇺🇸, Pilsener / Pils / Pilsner ,5.5,-,-,3.00,1.0,Outer Range Jerry Juice
"Short Throw Cop and Go
🇺🇸 IPA - Hazy / NEIPA • 6.5%
89
54
3.74
(12)",🇺🇸, IPA - Hazy / NEIPA ,6.5,89,54,3.74,12.0,Short Throw Cop and Go
"Central Waters Brewhouse Coffee Stout
🇺🇸 Stout - Flavored • 7.8%
97
95
3.83
(309)",🇺🇸, Stout - Flavored ,7.8,97,95,3.83,309.0,Central Waters Brewhouse Coffee Stout
"Howe Sound West Coast IPA
🇨🇦 IPA • 6.0%
48
33
3.26
(41)",🇨🇦, IPA ,6.0,48,33,3.26,41.0,Howe Sound West Coast IPA
"Böser Geist 13th Street (dreizehnte Straße)
🇺🇸 Porter • 5.3%
-
-
3.90
(1)",🇺🇸, Porter ,5.3,-,-,3.90,1.0,Böser Geist 13th Street (dreizehnte Straße)
"The Bruery Soie (2020 Anniversary)
🇺🇸 Strong Ale - American • 17.0%
-
-
3.90
(1)",🇺🇸, Strong Ale - American ,17.0,-,-,3.90,1.0,The Bruery Soie (2020 Anniversary)
"Sycamore Rainbow Dust
🇺🇸 IPA • 7.1%
-
-
2.80
(2)",🇺🇸, IPA ,7.1,-,-,2.80,2.0,Sycamore Rainbow Dust
